Designator,Mid X,Mid Y,Rotation,Layer
D1,100.19,-56.0,0.0,bottom
D2,120.0,-56.0,0.0,bottom
D3,139.0,-56.0,0.0,bottom
D4,101.0,-75.0,0.0,bottom
D5,120.0,-75.0,0.0,bottom
D6,139.0,-75.0,0.0,bottom
D7,101.0,-95.0,0.0,bottom
D8,120.0,-95.0,0.0,bottom
D9,139.0,-95.0,0.0,bottom
S1,100.32,-44.68,0.0,top
S2,119.52,-44.68,0.0,top
S3,138.72,-44.68,0.0,top
S4,100.32,-63.88,0.0,top
S5,119.52,-63.88,0.0,top
S6,138.72,-63.88,0.0,top
S7,100.32,-83.08,0.0,top
S8,119.52,-83.08,0.0,top
S9,138.72,-83.08,0.0,top
SW1,160.88,-53.37,180.0,top
U1,159.98,-30.44,0.0,top
